LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];
_58;P1;0.539;28.58333;-14.18211;-47.56925;0.38713;0.04985;0.57931;1.29719;0.95824;0.12339;0.98694;1.42906;27/11/2024 11:05
_59;P2;0.51881;28.39167;-14.18193;-47.56985;0.57602;0.07938;0.50082;1.59659;0.80427;0.11084;0.98348;1.57973;27/11/2024 11:12
_60;P3;0.53041;29.04611;-14.18178;-47.57011;0.34507;0.04803;0.89521;3.85379;0.37484;0.05217;0.76111;3.12305;27/11/2024 11:18
_61;P4;0.95;27.60556;-14.18171;-47.5705;0.54871;0.06647;0.9961;1.26731;0.88992;0.1078;0.98051;1.52945;27/11/2024 11:27
_62;P5;0.70462;26.85222;-14.18158;-47.57078;-0.32609;-0.04101;0.55334;10.88264;5.14475;0.64695;0.9984;1.21651;27/11/2024 11:34
_63;P6;0.95;26.61222;-14.18147;-47.57116;0.82918;0.09852;0.93736;2.24097;2.93374;0.34859;0.99018;1.42966;27/11/2024 11:41
_66;P7;0.95;27.33667;-14.18145;-47.57142;2.28925;0.29998;0.94036;2.25589;3.68116;0.48238;0.9936;1.34821;27/11/2024 11:49
_68;P8;0.75903;25.12333;-14.18196;-47.57129;-0.07952;-0.00894;0.35718;11.28059;3.12119;0.35093;0.98227;1.38532;27/11/2024 11:59
_69;P9;0.60683;25.29222;-14.18218;-47.5715;0.86005;0.11498;0.98332;1.38358;0.85216;0.11393;0.95516;1.63462;27/11/2024 12:07
_72;P10;0.95;23.23833;-14.18264;-47.5716;0.02334;0.0031;0.10207;24.00794;0.81634;0.10826;0.97412;1.62479;27/11/2024 12:22
