LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];
_2;P10;0.95;30.37;-14.1277;-47.72344;-0.10732;-0.01327;0.92058;2.65191;3.53979;0.43774;0.99848;1.22184;22/11/2024 11:04
_3;P9;0.95;28.59333;-14.12771;-47.72369;0.87959;0.10689;0.96587;1.26381;2.52239;0.30654;0.99584;1.26057;22/11/2024 11:12
_4;P8;0.70276;28.49056;-14.12821;-47.7244;0.01213;0.00154;0.03287;65.12941;1.98434;0.25185;0.98791;1.4814;22/11/2024 11:19
_5;P7;0.95;30.60778;-14.12857;-47.72485;1.37125;0.17136;0.99875;1.20924;0.79187;0.09896;0.97436;1.7652;22/11/2024 11:28
_6;P6;0.75007;30.47111;-14.1287;-47.72505;-0.00294;-0.00037;0.00248;162.70147;1.66197;0.21073;0.99334;1.35552;22/11/2024 11:33
_7;P5;0.95;29.96167;-14.12897;-47.72554;0.13036;0.01625;0.74459;4.90588;1.39022;0.1733;0.99231;1.37958;22/11/2024 11:39
_8;P4;0.2215;28;-14.12947;-47.72626;-0.56929;-0.07001;0.98744;1.49321;5.89838;0.72533;0.99907;1.20563;22/11/2024 11:47
_9;P3;0.14356;27.66667;-14.12994;-47.72694;-0.334;-0.03927;0.91899;2.67629;2.80621;0.32991;0.99682;1.26852;22/11/2024 11:55
_10;P2;0.32313;26.88889;-14.13075;-47.72754;0.01905;0.00227;0.00148;34.25554;1.68056;0.20054;0.99066;1.37631;22/11/2024 12:02
_15;P1;0.33733;27.37333;-14.13116;-47.72804;0.00688;0.00082;0.00134;225.03179;0.69955;0.08293;0.94887;2.21921;22/11/2024 12:13
