LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];
_38;P10;0.95;23.83222;-14.13475;-47.76458;0.16063;0.02116;0.95664;1.78674;1.20793;0.15913;0.99107;1.36863;25/11/2024 11:27
_39;P9;0.38464;24.22778;-14.13488;-47.7647;10.30584;1.25757;0.98918;1.3698;9.90413;1.20855;0.99945;1.17524;25/11/2024 11:33
_40;P8;0.32356;24.86444;-14.13514;-47.76479;0.11304;0.01482;0.95549;2.05836;2.92017;0.3828;0.99883;1.19632;25/11/2024 11:40
_41;P7;0.76607;25.22667;-14.13554;-47.765;0.27072;0.03145;0.98814;1.4665;1.88793;0.21932;0.99354;1.27899;25/11/2024 11:47
_42;P6;0.4162;25.32;-14.13587;-47.7651;0.19347;0.02267;0.97516;1.74131;3.38224;0.39624;0.99859;1.20189;25/11/2024 11:55
_44;P5;0.32047;24.9;-14.13632;-47.76523;1.64642;0.19576;0.99722;1.24499;3.95696;0.47049;0.99854;1.2045;25/11/2024 12:02
_45;P4;0.19533;24;-14.13679;-47.76529;0.92265;0.11741;0.99681;1.25616;2.53367;0.32242;0.99772;1.21874;25/11/2024 12:10
_46;P3;0.23497;23.71111;-14.13721;-47.76544;0.63488;0.07581;0.99796;1.22592;1.79784;0.21467;0.99483;1.27387;25/11/2024 12:16
_47;P2;0.21251;23.73556;-14.13766;-47.7656;-0.06076;-0.00751;0.82771;3.86977;2.42277;0.2996;0.99816;1.21729;25/11/2024 12:24
_48;P1;0.26998;24.22889;-14.13792;-47.76559;0.00294;0.00035;0.00552;107.80647;3.6122;0.42815;0.99871;1.20144;25/11/2024 12:31
