LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];
_236;P1;0;32.65667;-14.18212;-47.56929;-0.87282;-0.12111;0.99902;1.20555;0.60955;0.08458;0.98186;1.61139;11/09/2024 10:23
_237;P2;0.22759;31.55667;-14.18192;-47.5698;-0.52439;-0.07349;0.99757;1.2441;1.19865;0.16799;0.99305;1.31752;11/09/2024 10:32
_238;P3;0;32.86667;-14.18179;-47.57012;-4.37006;-0.59218;0.99865;1.21702;0.53202;0.07209;0.96671;1.81573;11/09/2024 10:38
_239;P4;0.15744;34.09778;-14.1817;-47.57049;-0.32521;-0.04077;0.9753;1.97368;1.5317;0.192;0.9965;1.26996;11/09/2024 10:46
_240;P5;0.39;32.37778;-14.18157;-47.57077;-0.38932;-0.05001;0.99269;1.36746;1.48221;0.1904;0.99543;1.2924;11/09/2024 10:56
_241;P6;0.57512;30.02873;-14.18148;-47.57112;-0.44409;-0.05295;0.9417;2.32566;2.35985;0.28135;0.99731;1.2442;11/09/2024 11:03
_244;P7;0.95;24.57333;-14.18145;-47.5714;0.30799;0.04194;0.96967;2.41992;4.40429;0.59979;0.99663;1.22839;11/09/2024 11:14
_245;P8;0.07233;27;-14.18192;-47.5713;-1.13805;-0.13703;0.99325;1.37386;2.23601;0.26924;0.99543;1.28211;11/09/2024 11:24
_246;P9;0.01733;29.06667;-14.18216;-47.57149;-0.93881;-0.12556;0.99933;1.19564;2.04724;0.2738;0.99792;1.23361;11/09/2024 11:31
_247;P10;0.35939;30.56111;-14.18261;-47.57159;-0.61539;-0.08186;0.98956;1.44151;2.08547;0.27741;0.99649;1.25478;11/09/2024 11:38
