LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];
_248;P10;0.30063;30.81;-14.2728;-47.74233;-0.80628;-0.09823;0.99871;1.18827;5.73813;0.6991;0.99947;1.16596;12/09/2024 10:42
_250;P9;0.26133;31.4;-14.27295;-47.74237;-1.09962;-0.12996;0.99929;1.1724;4.73753;0.55992;0.99941;1.16808;12/09/2024 10:53
_251;P8;0.4532;31.56;-14.27316;-47.7424;-0.35362;-0.0444;0.99375;1.31861;4.39605;0.552;0.99886;1.17625;12/09/2024 11:03
_252;P7;0.08441;31.43889;-14.27336;-47.74238;-0.88862;-0.11501;0.99919;1.1747;3.26529;0.4226;0.99928;1.17227;12/09/2024 11:12
_253;P6;0.0088;34.53333;-14.27355;-47.74242;-1.14262;-0.14796;0.9994;1.16886;2.23722;0.28971;0.99819;1.19806;12/09/2024 11:21
_254;P5;0;37.30889;-14.27379;-47.74245;-1.17503;-0.15022;0.99954;1.16487;0.92405;0.11813;0.98953;1.39124;12/09/2024 11:30
_255;P4;0;38.88167;-14.274;-47.74243;-0.74448;-0.09737;0.99832;1.19929;0.72085;0.09428;0.98525;1.51884;12/09/2024 11:37
_256;P3;0;39.19333;-14.27422;-47.74243;-1.06951;-0.14071;0.99935;1.17096;0.36935;0.04859;0.94861;2.20674;12/09/2024 11:43
